"","sample_id","tube_box","tube_size_ml","isotope_id","lab_id","analysis_number","collected_datetime","lake","lake_d13c_baseline","lake_d15n_baseline","sample_latitude","sample_longitude","type_of_material","method_of_collection","preservative","scientific_name","common_name","individuals_count","depth","fish_total_length_mm","fish_weight_g","in_oven_datetime","oven_temperature_c","out_oven_datetime","empty","sample_net_weight_mg","total_c_ug","total_n_ug","d13c","d15n","d13c_baseline_corrected","d15n_baseline_corrected","c_comment","n_comment"
"23","AAW","2018-A","1.5","BRAVO-C-10",1667936,537247,2018-06-05 12:39:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,298,219,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,1.072,513.93,164.02,-24.63,8.44,-3.478,7.45466666666667,"",""
"24","AAX","2018-A","1.5",NA,NA,NA,2018-06-05 12:39:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,279,218,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","AAY","2018-A","1.5",NA,NA,NA,2018-06-05 12:39:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,281,188,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","AAZ","2018-A","1.5","BRAVO-C-05",1667931,537242,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Ptychocheilus oregonensis","Northern pikeminnow","1",NA,285,104,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.947,453.94,143.91,-24.28,9.2,-3.128,8.21466666666667,"",""
"27","ABA","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,155,126,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ABB","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Ptychocheilus oregonensis","Northern pikeminnow","1",NA,242,120,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ABC","2018-A","1.5","BRAVO-D-03",1667941,537255,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,267,149,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,1.024,497.64,157.48,-28.45,8.53,-7.298,7.54466666666667,"",""
"30","ABD","2018-A","1.5","BRAVO-C-04",1667930,537241,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,280,165,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,1.001,483.44,153.82,-28.79,7.95,-7.638,6.96466666666667,"",""
"31","ABE","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,225,93,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ABF","2018-A","1.5","BRAVO-B-12",1667926,537232,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus catostomus","Longnose sucker","1",NA,345,352,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.969,465.04,144.25,-24.48,8.39,-3.328,7.40466666666667,"",""
"33","ABG","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,196,48,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ABH","2018-A","1.5","BRAVO-C-07",1667933,537244,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Ptychocheilus oregonensis","Northern pikeminnow","1",NA,274,154,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.984,473.92,151.3,-23.35,9.44,-2.198,8.45466666666667,"",""
"35","ABI","2018-A","1.5","BRAVO-D-01",1667939,537253,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,268,159,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.928,439.88,141.41,-28.62,7.8,-7.468,6.81466666666667,"",""
"36","ABJ","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,240,127,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ABK","2018-A","1.5","BRAVO-D-04",1667942,537256,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,232,119,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.962,463.6,147.6,-28.45,8,-7.298,7.01466666666667,"",""
"38","ABL","2018-A","1.5","BRAVO-C-11",1667937,537248,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Ptychocheilus oregonensis","Northern pikeminnow","1",NA,268,188,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,1.081,527.64,162.27,-25.1,8.7,-3.948,7.71466666666667,"",""
"39","ABM","2018-A","1.5","BRAVO-D-07",1667945,537259,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus catostomus","Longnose sucker","1",NA,206,93,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.953,467.34,145.23,-26.81,8.87,-5.658,7.88466666666667,"",""
"40","ABN","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,197,58,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ABO","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus catostomus","Longnose sucker","1",NA,60,40,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ABP","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,225,90,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ABQ","2018-A","1.5","BRAVO-D-09",1667947,537261,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,362,309,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.973,468.63,148.85,-27.2,11.35,-6.048,10.3646666666667,"",""
"44","ABR","2018-A","1.5","BRAVO-E-01",1667951,537270,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,245,304,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.955,459.21,143.32,-26.64,11.76,-5.488,10.7746666666667,"",""
"45","ABS","2018-A","1.5","BRAVO-D-10",1667948,537262,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,360,284,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.964,465.94,149.21,-27.76,10.77,-6.608,9.78466666666667,"",""
"46","ABT","2018-A","1.5","BRAVO-D-11",1667949,537263,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,335,240,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.006,482.02,150.79,-27.38,10.47,-6.228,9.48466666666667,"",""
"47","ABU","2018-A","1.5","BRAVO-D-12",1667950,537264,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,293,152,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.977,462.98,148.14,-28.9,11.47,-7.748,10.4846666666667,"",""
"48","ABV","2018-A","1.5","BRAVO-E-02",1667952,537271,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,234,88,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.998,467.3,149.49,-25.66,11.84,-4.508,10.8546666666667,"",""
"49","ABW","2018-A","1.5","BRAVO-E-03",1667953,537272,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,221,69,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.97,484.85,145.4,-24.67,11.97,-3.518,10.9846666666667,"",""
"50","ABX","2018-A","1.5","BRAVO-E-05",1667955,537274,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,209,63,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.938,345.99,110.75,-26.13,10.95,-4.978,9.96466666666667,"",""
"51","ABY","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,89,49,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","ABZ","2018-A","1.5","BRAVO-E-04",1667954,537273,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,214,58,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.963,459.55,147.31,-24.51,11.33,-3.358,10.3446666666667,"",""
"53","ACA","2018-A","1.5","BRAVO-E-06",1667956,537275,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,205,55,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.976,466.79,145.5,-26.48,12.29,-5.328,11.3046666666667,"",""
"54","ACB","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus namaycush","Lake trout","1",NA,204,54,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","ACC","2018-A","1.5",NA,NA,NA,2018-06-05 15:05:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Ptychocheilus oregonensis","Northern pikeminnow","1",NA,160,150,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","ACD","2018-A","1.5",NA,NA,NA,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,198,55,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ACE","2018-A","1.5",NA,NA,NA,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Prosopium williamsoni","Mountain whitefish","1",NA,227,83,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ACF","2018-A","1.5","BRAVO-E-08",1667958,537277,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Salvelinus confluentus","Bull trout","1",NA,239,114,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,1.049,500.43,159.52,-25.51,9.7,-4.358,8.71466666666667,"",""
"59","ACG","2018-A","1.5",NA,NA,NA,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus catostomus","Longnose sucker","1",NA,168,49,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ACH","2018-A","1.5",NA,NA,NA,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus catostomus","Longnose sucker","1",NA,171,49,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ACI","2018-A","1.5",NA,NA,NA,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus catostomus","Longnose sucker","1",NA,164,43,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ACJ","2018-A","1.5","BRAVO-D-08",1667946,537260,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus catostomus","Longnose sucker","1",NA,180,55,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,1.022,486.69,153.8,-22.75,6.85,-1.598,5.86466666666667,"",""
"63","ACK","2018-A","1.5","BRAVO-D-06",1667944,537258,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,289,184,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.997,475.62,151.54,-22.96,8.13,-1.808,7.14466666666667,"",""
"64","ACL","2018-A","1.5",NA,NA,NA,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,204,71,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ACM","2018-A","1.5",NA,NA,NA,2018-06-05 18:15:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus catostomus","Longnose sucker","1",NA,881,460,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ACN","2018-A","1.5",NA,NA,NA,2018-06-06 10:12:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus catostomus","Longnose sucker","1",NA,179,52,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ACO","2018-A","1.5","BRAVO-C-08",1667934,537245,2018-06-06 12:08:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,318,342,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,1.034,506.47,149.65,-24.83,7.56,-3.678,6.57466666666667,"",""
"68","ACP","2018-A","1.5",NA,NA,NA,2018-06-06 14:45:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,242,122,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ACQ","2018-A","1.5","BRAVO-C-09",1667935,537246,2018-06-06 15:38:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,308,263,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.997,490.6,147.98,-26.04,9,-4.888,8.01466666666667,"",""
"70","ACR","2018-A","1.5",NA,NA,NA,2018-06-06 15:38:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,265,198,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ACS","2018-A","1.5",NA,NA,NA,2018-06-06 15:38:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Mono gill net USGS","95% ethanol","Catostomus macrocheilus","Largescale sucker","1",NA,281,235,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ACT","2018-A","1.5","BRAVO-E-09",1667959,537278,2018-06-06 21:53:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Hook and line","95% ethanol","Oncorhynchus clarkii lewisi","Westslope cutthroat trout","1",NA,392,596,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,1.016,490.75,154.44,-24.56,8.97,-3.408,7.98466666666667,"",""
"73","ACU","2018-A","1.5","BRAVO-E-10",1667960,537279,2018-06-06 21:53:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Hook and line","95% ethanol","Oncorhynchus clarkii lewisi","Westslope cutthroat trout","1",NA,367,426,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.955,465.34,146.9,-27.4,8.96,-6.248,7.97466666666667,"",""
"74","ACV","2018-A","1.5","BRAVO-F-01",1667963,537285,2018-06-07 10:16:00,"Logging",-21.152,0.985333333333333,NA,NA,"Fish","Hook and line","95% ethanol","Oncorhynchus clarkii lewisi","Westslope cutthroat trout","1",NA,338,333,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.987,481.11,152.07,-27.91,7.91,-6.758,6.92466666666667,"",""
